Domain,Nameserver-1,Nameserver-2,Password,Redirect,Email-1,Email-2,Email-3,Name-1,Name-2,Name-3
gettch.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,)$5pLtmkIV,https://horizon.dev,walterbell@gettch.org,rachelbrown@gettch.org,rachelbrown@gettch.org,Walter Bell,Rachel Brown,Janice Johnson
getteches.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,a0%vAtt1%w,https://horizon.dev,marybuchanan@getteches.org,aprilsmith@getteches.org,aprilsmith@getteches.org,Mary Buchanan,April Smith,Michael Gordon
gettechs.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,)DQ5dQk&4^,https://horizon.dev,taragordon@gettechs.org,christinaherring@gettechs.org,christinaherring@gettechs.org,Tara Gordon,Christina Herring,Aaron Rios
meettch.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,y%qA3rSv@C,https://horizon.dev,travisvance@meettch.org,kendraweissmd@meettch.org,kendraweissmd@meettch.org,Travis Vance,Kendra Weiss MD,Danielle Sanders
meetteches.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,1^%_B8Wv2o,https://horizon.dev,kimberlytaylor@meetteches.org,brendagray@meetteches.org,brendagray@meetteches.org,Kimberly Taylor,Brenda Gray,Lucas Hart
meettechs.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,U^0QLa&4#T,https://horizon.dev,williamadams@meettechs.org,michaelbruce@meettechs.org,michaelbruce@meettechs.org,William Adams,Michael Bruce,Russell Bradley
opentch.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,_f3RrzMEeZ,https://horizon.dev,amandafisher@opentch.org,whitneygonzalez@opentch.org,whitneygonzalez@opentch.org,Amanda Fisher,Whitney Gonzalez,Chelsea Lozano
opentechs.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,z4@Q^eHZ$V,https://horizon.dev,gregoryreed@opentechs.org,keithwolfe@opentechs.org,keithwolfe@opentechs.org,Gregory Reed,Keith Wolfe,Pamela Mitchell
tchhq.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,%0CQ5ltY!4,https://horizon.dev,danielwilson@tchhq.org,seanholland@tchhq.org,seanholland@tchhq.org,Daniel Wilson,Sean Holland,Joseph Soto
tchly.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,(8CGxRvnNr,https://horizon.dev,thomasreynolds@tchly.org,williamhernandez@tchly.org,williamhernandez@tchly.org,Thomas Reynolds,William Hernandez,Anthony Hawkins
techeshb.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,!$aH8+zq9e,https://horizon.dev,kimberlymoore@techeshb.org,hollymorgan@techeshb.org,hollymorgan@techeshb.org,Kimberly Moore,Holly Morgan,Tracy Ward
techeslbs.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,HkWUW_Xm@5,https://horizon.dev,kristenwilliams@techeslbs.org,sarayork@techeslbs.org,sarayork@techeslbs.org,Kristen Williams,Sara York,Lauren Lane
techespp.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,*tCuQYmM9A,https://horizon.dev,brucebennett@techespp.org,josecollins@techespp.org,josecollins@techespp.org,Bruce Bennett,Jose Collins,Caitlyn Miles
techhb.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,L(2oUswHcy,https://horizon.dev,charleschang@techhb.org,morganwilson@techhb.org,morganwilson@techhb.org,Charles Chang,Morgan Wilson,Alejandra Carpenter
techlbs.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,(66F!0jubj,https://horizon.dev,nancygallagher@techlbs.org,allisonbrown@techlbs.org,allisonbrown@techlbs.org,Nancy Gallagher,Allison Brown,Amanda Stuart
techpp.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,qu8MUwE9*!,https://horizon.dev,brendastafford@techpp.org,whitneycollier@techpp.org,whitneycollier@techpp.org,Brenda Stafford,Whitney Collier,Kimberly Bradford
techsly.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,#X##pWZbE5,https://horizon.dev,jessicabooth@techsly.org,aprilgeorge@techsly.org,aprilgeorge@techsly.org,Jessica Booth,April George,Rachael Owens
thetch.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,@$d8Utd4Ug,https://horizon.dev,todddrake@thetch.org,tanyafields@thetch.org,tanyafields@thetch.org,Todd Drake,Tanya Fields,Catherine Gray
theteches.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,D8)qFsuj#Y,https://horizon.dev,jocarter@theteches.org,ericwilliams@theteches.org,ericwilliams@theteches.org,Jo Carter,Eric Williams,Luis Howe
tryteches.org,hera.ns.cloudflare.com,lochlan.ns.cloudflare.com,&5qULUTsi4,https://horizon.dev,thomasbanks@tryteches.org,jamessparks@tryteches.org,jamessparks@tryteches.org,Thomas Banks,James Sparks,Taylor Wheeler
